dataset,field,value,n_features
San Mateo vegetation,MAP_CLASS_18,Conium maculatum – Foeniculum vulgare Semi-Natural Alliance,67
San Mateo vegetation,MAP_CLASS_18,Quercus kelloggii Alliance,62
San Mateo vegetation,MAP_CLASS_18,"Cortaderia (jubata, selloana) Semi-Natural Alliance",55
San Mateo vegetation,MAP_CLASS_18,Alnus rhombifolia Alliance,50
San Mateo vegetation,MAP_CLASS_18,Nursery or Ornamental Horticulture Area,46
San Mateo vegetation,MAP_CLASS_18,Perennial Agriculture,37
San Mateo vegetation,MAP_CLASS_18,Artemisia pycnocephala Association,32
San Mateo vegetation,MAP_CLASS_18,Acer negundo / (Rubus ursinus) Association,30
San Mateo vegetation,MAP_CLASS_18,Quercus wislizeni – Quercus chrysolepis (shrub) Alliance,28
San Mateo vegetation,MAP_CLASS_18,"Californian Cliff, Scree & Rock Vegetation Group",25
San Mateo vegetation,MAP_CLASS_18,Genista monspessulana Semi-Natural Association,24
San Mateo vegetation,MAP_CLASS_18,Quercus durata Alliance,19
San Mateo vegetation,MAP_CLASS_18,Ulex europaeus Provisional Semi-Natural Association,19
San Mateo vegetation,MAP_CLASS_18,Populus trichocarpa Alliance,18
San Mateo vegetation,MAP_CLASS_18,Hypericum canariense Provisional Semi-Natural Association,15
San Mateo vegetation,MAP_CLASS_18,Acacia spp. – Grevillea spp. – Leptospermum laevigatum Provisional Semi-Natural Alliance,14
San Mateo vegetation,MAP_CLASS_18,Acer macrophyllum Mapping Unit,13
San Mateo vegetation,MAP_CLASS_18,"Cotoneaster (lacteus, pannosus) Provisional Semi-Natural Association",13
San Mateo vegetation,MAP_CLASS_18,Rubus armeniacus Semi-Natural Association,13
San Mateo vegetation,MAP_CLASS_18,Pacific Coastal Beach & Dune Mapping Unit,12
San Mateo vegetation,MAP_CLASS_18,Ammophila arenaria Semi-Natural Alliance,11
San Mateo vegetation,MAP_CLASS_18,Lupinus chamissonis – Ericameria ericoides Alliance,11
San Mateo vegetation,MAP_CLASS_18,Salix gooddingii – Salix laevigata Alliance,10
San Mateo vegetation,MAP_CLASS_18,Major Road,9
San Mateo vegetation,MAP_CLASS_18,Acacia melanoxylon Provisional Semi-Natural Association,8
San Mateo vegetation,MAP_CLASS_18,Lupinus arboreus Alliance,8
San Mateo vegetation,MAP_CLASS_18,Irrigated Pasture,7
San Mateo vegetation,MAP_CLASS_18,Delairea odorata Semi-Natural Association,6
San Mateo vegetation,MAP_CLASS_18,Lotus scoparius – Lupinus albifrons – Eriodictyon spp. Alliance,6
San Mateo vegetation,MAP_CLASS_18,Atriplex prostrata – Cotula coronopifolia Semi-Natural Alliance,5
San Mateo vegetation,MAP_CLASS_18,Ceanothus cuneatus Alliance,5
San Mateo vegetation,MAP_CLASS_18,Quercus wislizeni – Quercus parvula (tree) Alliance,5
