polygon_row_id,map_class_clean,lifeform_clean,acres_numeric,adjacent_freshwater_anchor,adjacent_tidal_anchor,near_model_site,near_model_site_ids,near_map_edge,split_class,movement_group,base_cost,is_barrier,classification_status,decision_reason
89984,Water,Water,1.362443206158675,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89985,Water,Water,0.2268255120014917,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89986,Water,Water,9.937261630483697,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89987,Water,Water,0.5603174615622137,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89988,Water,Water,0.8145472816024258,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89989,Water,Water,0.015109739713319466,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89990,Water,Water,2.937721904931041,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89991,Water,Water,1.0671799151147048,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89992,Water,Water,1.047198165877134,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89993,Water,Water,0.3656983292492789,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89994,Water,Water,0.7787704678228338,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89995,Water,Water,0.17213413268970104,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89996,Water,Water,0.0511024093664883,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
89997,Water,Water,0.31849231296550234,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89998,Water,Water,0.6275481620419185,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
89999,Water,Water,0.3297984682149753,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90000,Water,Water,0.3372812689030755,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90001,Water,Water,0.04481228264526581,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90002,Water,Water,1.0405567708943608,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90003,Water,Water,1.4098664902224924,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90004,Water,Water,31.374815671451604,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90005,Water,Water,0.5042540506902613,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90006,Water,Water,1.2889782527653846,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90007,Water,Water,0.6153431170234737,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90008,Water,Water,0.2186862726202133,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90009,Water,Water,1.1482410251519397,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90010,Water,Water,0.23842928790784712,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90011,Water,Water,25.2641618695558,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90012,Water,Water,0.2403120049724123,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90013,Water,Water,1.6794636439221977,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90014,Water,Water,0.0122589041273317,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90015,Water,Water,0.17575752799115238,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90016,Water,Water,0.5785582632073883,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90017,Water,Water,0.013429502257620117,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90018,Water,Water,0.05220403960302042,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90019,Water,Water,0.09134017073863367,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90020,Water,Water,0.043985448027371664,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90021,Water,Water,0.5950573815521875,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90022,Water,Water,0.24380942048429466,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90023,Water,Water,2.604496186484576,TRUE,TRUE,FALSE,,FALSE,Estuarine_transition_water,Tidal_saline_matrix,25,FALSE,ASSIGNED,Within 30 ft of both freshwater and tidal anchors
90024,Water,Water,3.1056061014231955,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90025,Water,Water,35.9502127254341,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90026,Water,Water,0.1086320457233032,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90027,Water,Water,0.30482129150109916,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90028,Water,Water,0.6707835229774143,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90029,Water,Water,0.5363175163769945,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90030,Water,Water,0.11698854213264179,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90031,Water,Water,0.0493574930440031,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90032,Water,Water,0.8792209530716418,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90033,Water,Water,0.14818793763884933,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90034,Water,Water,2.4796015016852238,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90035,Water,Water,0.3016879183793189,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90036,Water,Water,1.456336017073348,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90037,Water,Water,0.2793672983160083,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90038,Water,Water,0.4475575001086782,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90039,Water,Water,0.9118463154992897,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90040,Water,Water,0.6213492974511166,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90041,Water,Water,0.06706212116586273,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90042,Water,Water,0.20905639065118325,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90043,Water,Water,1.7735546385494048,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90044,Water,Water,0.4220381220715066,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90045,Water,Water,2.6965185159639646,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90046,Water,Water,0.24349888106803366,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90047,Water,Water,1.9923814610498431,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90048,Water,Water,3.781745277762212,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90049,Water,Water,0.30812598632354,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90050,Water,Water,0.7419940350954702,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90051,Water,Water,0.6025537942494088,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90052,Water,Water,0.31714897135294623,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90053,Water,Water,0.6535110761749934,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90054,Water,Water,0.22173921227596308,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90055,Water,Water,0.05647375395016255,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90056,Water,Water,0.10404719899682698,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90057,Water,Water,0.07185507723656982,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90058,Water,Water,0.05982553725805488,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90059,Water,Water,0.22405863397951337,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90060,Water,Water,0.5618399244411432,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90061,Water,Water,0.14063002276844253,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
90062,Water,Water,0.018719188490083992,TRUE,FALSE,FALSE,,FALSE,Freshwater_open_water,Freshwater_wetland_riparian,1,FALSE,ASSIGNED,Within 30 ft of freshwater wetland or riparian forest
90063,Water,Water,0.9260327295330688,FALSE,FALSE,FALSE,,FALSE,UNRESOLVED_WATER_REVIEW,UNRESOLVED_REVIEW,,FALSE,REVIEW_REQUIRED,"No freshwater, tidal, or modeled-site spatial evidence"
