LctGUID,LoctnID,ParkCod,Project,Dscrptn,AcCRLFB,Watrshd,Ltc_Lnt,WatrRgm,StpUTMX,StpUTMY,UtmZone,StartLt,StartLn,StopLat,StopLon,Datum,EstHErr,AccNots,Elevatn,EstVErr,Aspect,Slope,Dirctns,Commnts,Hbtt_ty,County
{BBC3C535-1802-495B-8905-DD20CA28CD74},RC02,GOGA,CRLF,Big Lagoon Environs @ GG wetland,No,Redwood Creek,lentic,seasonal,537472,4190588,10,,,,,NAD83,,,,,,,,"USGS P143B, wetlands labeled as Pasture B in PWA Big Lagoon report",marsh,Marin
{C8DC7D4D-53A3-4D2B-B99D-4FAEEFA08878},RC03,GOGA,CRLF,Big Lagoon Environs @ GG xditch,No,Redwood Creek,lentic,seasonal,537463,4190676,10,,,,,NAD83,,,,,,,,"Adj to USGS P143C, ditch and adj flooded areas. Wetlands labeled as Pasture A/Ditch 1 in PWA Big Lagoon report.",ditch,Marin
{69A84549-BEB1-41D2-BFA6-A848F14E1EAA},RC04,GOGA,CRLF,Big Lagoon Environs @ former picnic area,No,Redwood creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,Seasonal wetlands adjacent to the Muir Beach parking lot,marsh,Marin
{38D1698D-7B23-4388-9002-8190D7D65562},RC05,GOGA,CRLF,Big Lagoon Environs @ RW creek backwater,No,Redwood Creek,lentic,perennial,537396,4190706,10,,,,,NAD83,,,,,,,,This backwater is part of USGS P161B,stream,Marin
{09101855-FB21-4A42-AD04-F83AEF1E3E9E},RC06,OTHER,CRLF,Green Gulch Pond-Zendo,No,Redwood Creek,lentic,perennial,,,10,,,,,NAD83,,,,,,,,Private. Green Gulch Farms and Zen Center. Irrigation pond on mainstem creek,pond,Marin
{A6D661BC-6889-4AEB-A65E-E3C1DFEE1882},RC07,GOGA,CRLF,Banducci Frog Pond,Yes,Redwood Creek,lentic,perennial,,,10,,,,,NAD83,,,,,,,,Excavated as mitigation pond in fall 2007,pond,Marin
{F4123FEF-BD0F-47F9-9E64-986CE46FDB62},RC08,OTHER,CRLF,Green Gulch Hillside Pond-East,No,Redwood Creek,lentic,perennial,,,10,,,,,NAD83,,,,,,,,USGS P-302. Private. Green Gulch Farms and Zen Center. Irrigation pond,pond,Marin
{904ED54A-BBC0-4C91-9D43-60000830A40F},RC09,OTHER,CRLF,Green Gulch Hillside Pond-West,No,Redwood Creek,lentic,perennial,,,10,,,,,NAD83,,,,,,,,USGS P-303. Private. Green Gulch Farms and Zen Center. Irrigation pond,pond,Marin
{B5A97887-4C85-4F20-AB53-21C6D8021DDE},RC10,GOGA,CRLF,2009 Frog Pond,Yes,Redwood Creek,lentic,seasonal,,,10,,,,,wgs84,,,,,,,,Pond created in summer 2009 in GreenGulch pasture,pond,Marin
{62A4D692-E30D-44C0-BCC5-2D66B2885683},RC11,GOGA,CRLF,2010 Frog Pond,Yes,Redwood Creek,lentic,seasonal,,,10,,,,,wgs84,,,,,,,,Pond created summer 2010 in Green Gulch Pasture,pond,Marin
{CA3037A3-E46E-418F-9C7C-A8605B98C9E0},RC12,GOGA,CRLF,old GG culvert,No,Redwood Creek,lentic,seasonal,,,10,,,,,wgs84,,,,,,,,Ponded area upstream of levee road culvert.,marsh,Marin
{FA20A18F-C29F-450F-82C6-923F143850DB},RC13,GOGA,CRLF,2011 off-channel pond,Yes,Redwood Creek,lentic,perennial,,,10,,,,,NAD83,,,,,,,,Backwater pond created in summer 2011. Inflow from reservoir at head. Seasonally connected at bottom to backwater. UTM coord for center of pond,pond,Marin
{FE88172B-51ED-4951-A55E-77555A67F8C4},RC14,GOGA,CRLF,2011 backwater (a),No,Redwood Creek,lentic,perennial,,,10,,,,,NAD83,,,,,,,,,marsh,Marin
{079DDA9B-7F31-417B-A3BA-50152929E6A2},RC15,GOGA,CRLF,2011 backwater (b),Yes,Redwood Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,,marsh,Marin
{9305FF83-3AE3-4F05-810C-68CD79F8A510},RC16,GOGA,CRLF,Side channel 6 backwater,No,Redwood Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,,stream,Marin
{87AD60D4-1A29-495D-AB76-F6EC449A68ED},RC17,GOGA,CRLF,Side channel 5 ditch,No,Redwood Creek,both,seasonal,,,10,,,,,NAD83,,,,,,,,,ditch,Marin
{2FE35ECB-FD44-4B30-A80F-EB1B5CC0C16A},RC18,GOGA,CRLF,Original channel backwater,No,Redwood Creek,lentic,perennial,,,10,,,,,NAD83,,,,,,,,,pond,Marin
{D5ABBFD5-73C1-4573-8455-043C97088802},RC19,GOGA,CRLF,Side channel 4 backwater,No,Redwood Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,,stream,Marin
{A9DA8220-25DA-449C-A2DA-67DE725E40C6},RC20,GOGA,CRLF,Expanded tidal lagoon,Yes,Redwood Creek,both,perennial,,,10,,,,,NAD83,,,,,,,,Expanded tidal lagoon created in 2009,lagoon,Marin
{13614D7F-A6D1-42C8-977F-1417708D4DEA},RC21,GOGA,CRLF,Tidal lagoon,Yes,Redwood Creek,both,perennial,,,10,,,,,NAD83,,,,,,,,Actual tidal lagoon,lagoon,Marin
{0C135EC8-2C5C-4E79-A5EB-96F6EE07A633},RC22,GOGA,CRLF,Banducci ditch,No,Redwood Creek,both,seasonal,,,10,,,,,NAD83,,,,,,,,"shallow, seasonally flooded wetland",ditch,Marin
{55E0FDB2-CFED-44F9-B8A9-78E9D98688D1},RC23,GOGA,CRLF,Banducci Reservoir,No,Redwood Creek,lentic,seasonal,,,10,,,,,wgs84,,,,,,,,Artificial water supply pond (abandoned) upslope from Amadeo Banducci residence,pond,Marin
{F7729688-49DF-4C82-8321-20E08CC8C036},RC24,GOGA,CRLF,Kaashi Trail wetland,Yes,Redwood Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,"shallow, seasonally flooded wetland adjacent to trail",meadow,Marin
{AAF8D862-E572-4664-BD86-689ACBC6A97E},RC25,GOGA,CRLF,S5 floodplain wetland,Yes,Redwood Creek,lentic,seasonal,,,10,,,,,NAD83,,,,,,,,"shallow, seasonally flooded wetland between S5 ditch and 2009 frog pond, USGS P584, Pasture A in PWA report",meadow,Marin
