Model,Model_ID,Year,N,Mean_Residual,Mean_Std_Residual,Mean_Abs_Residual
P0_Null,M0_Null,1997,1,1.8596235662471372e-15,2.6969804224298646e-15,1.8596235662471372e-15
P0_Null,M0_Null,1998,0,NA,NA,NA
P0_Null,M0_Null,1999,3,1.7634782523145995e-15,1.1730092782023844e-15,9.090950214840633e-15
P0_Null,M0_Null,2000,1,-0.17899847500605498,-0.23564175466242393,0.17899847500605498
P0_Null,M0_Null,2001,2,1.5766030175845764,0.6975415661444597,1.7556014925906314
P0_Null,M0_Null,2002,3,0.034052258374542906,-0.0014894283444638705,0.7140429323443273
P0_Null,M0_Null,2003,3,-0.12000091134381415,-0.08305171278803244,0.12000091134382303
P0_Null,M0_Null,2004,4,-0.008526935043620483,0.019415110149179744,0.18185931271528313
P0_Null,M0_Null,2005,7,0.003247613558111012,-0.019822576092400478,0.5209986675852931
P0_Null,M0_Null,2006,6,0.516057184549837,0.4639210244900338,0.6481778311740394
P0_Null,M0_Null,2007,5,-0.7696952798045282,-0.6923736145449206,0.8168084940670823
P0_Null,M0_Null,2008,10,0.6472995321764169,0.5795670671888092,0.7165868875997765
P0_Null,M0_Null,2009,11,-0.4410307598567861,-0.38363242420811966,0.927977862394008
P0_Null,M0_Null,2010,13,-0.7924438615192763,-0.6050028955368727,0.8250572040602218
P0_Null,M0_Null,2011,12,1.6148647876699938,1.1854078565892443,1.6447130468633604
P0_Null,M0_Null,2012,14,-0.3541916321947075,-0.254838646649014,0.7278195801571802
P0_Null,M0_Null,2013,14,0.30547852117587454,0.3470289031499108,0.7086359994808232
P0_Null,M0_Null,2014,13,-0.7665975026192844,-0.5325777864719549,0.9446626735321162
P0_Null,M0_Null,2015,14,0.6732772605948995,0.4851011599228068,0.7567720581826454
P0_Null,M0_Null,2016,14,-0.4362929439688089,-0.3608933081421079,0.7361856478112652
P0_Null,M0_Null,2017,14,0.4492819488987388,0.4979204198713553,1.084835647553886
P0_Null,M0_Null,2018,14,-0.18807911603299868,0.05031203012586027,1.3296073120281324
P0_Null,M0_Null,2019,14,-0.12420560744636587,-0.10054567858435573,0.9065493113380702
P0_Null,M0_Null,2020,14,0.08632617518129602,0.1368324563889731,0.864588327267429
P0_Null,M0_Null,2021,14,-0.532222576749778,-0.5500568452613106,0.7783101167691401
P0_Null,M0_Null,2022,14,0.2723476034910414,0.16174962075688412,1.0529361782070648
P0_Null,M0_Null,2023,14,0.10413876349149262,0.0019308768496986892,0.9908024298757834
P0_Null,M0_Null,2024,11,-0.7992270897812603,-0.5672603203221728,1.0298532458355822
P0_Null,M0_Null,2025,14,0.18029499225588458,NA,0.4606077175491095
P2_JanMar,P2_Late_Current,1997,1,1.3877787807814457e-17,2.0277549426968018e-17,1.3877787807814457e-17
P2_JanMar,P2_Late_Current,1998,0,NA,NA,NA
P2_JanMar,P2_Late_Current,1999,3,5.551115123125783e-17,-6.57218294419702e-17,5.366077952354923e-16
P2_JanMar,P2_Late_Current,2000,1,-0.040569469299844674,-0.0555471152930357,0.040569469299844674
P2_JanMar,P2_Late_Current,2001,2,1.626248323376941,0.79284021017374,1.6844285440503286
P2_JanMar,P2_Late_Current,2002,3,0.20348694100332276,0.1397638898380286,0.6696041384429456
P2_JanMar,P2_Late_Current,2003,3,-0.11688443395471586,-0.08314915793917817,0.11688453939519101
P2_JanMar,P2_Late_Current,2004,4,-0.03384584847631613,-4.890524027799362e-4,0.1929546879291805
P2_JanMar,P2_Late_Current,2005,7,-0.03822069389119507,-0.03526647266835914,0.4784569527551591
P2_JanMar,P2_Late_Current,2006,6,0.191647354184907,0.21390192394191354,0.41336058235386997
P2_JanMar,P2_Late_Current,2007,5,-0.5727793709606769,-0.5796409057934737,0.5727793709606769
P2_JanMar,P2_Late_Current,2008,10,0.7808639799753503,0.7524150794682927,0.780954018766157
P2_JanMar,P2_Late_Current,2009,11,-0.17457262694756337,-0.24784519836500768,0.9556922625257493
P2_JanMar,P2_Late_Current,2010,13,-0.663100462841944,-0.5628699716553797,0.8405874554161484
P2_JanMar,P2_Late_Current,2011,12,1.4233754566402188,1.1458686885770164,1.4396782556181202
P2_JanMar,P2_Late_Current,2012,14,-0.5277043614844824,-0.41734629882286156,0.8893109749305315
P2_JanMar,P2_Late_Current,2013,14,0.293342840022098,0.3666987583750361,0.7003688842911563
P2_JanMar,P2_Late_Current,2014,13,-0.4171438936760033,-0.3179558261777578,0.7912867369549461
P2_JanMar,P2_Late_Current,2015,14,0.766251593111497,0.5938534187650568,0.7884901982588054
P2_JanMar,P2_Late_Current,2016,14,-0.2807700124908812,-0.28044328152388215,0.5426022909993407
P2_JanMar,P2_Late_Current,2017,14,0.14233124648170145,0.31219986413676454,0.819090416063544
P2_JanMar,P2_Late_Current,2018,14,-0.052580668060897603,0.09963026615873781,1.1427391028017317
P2_JanMar,P2_Late_Current,2019,14,-0.16448769245682343,-0.13482613625930612,0.917416912140392
P2_JanMar,P2_Late_Current,2020,14,0.26495034999518235,0.26538267492445683,0.8000356597780252
P2_JanMar,P2_Late_Current,2021,14,-0.6582742060370065,-0.665975785124288,0.7980041790640513
P2_JanMar,P2_Late_Current,2022,14,0.01037186726949926,-0.012671755727256023,0.9313663627844178
P2_JanMar,P2_Late_Current,2023,14,0.10856947188784143,0.010330095341852023,0.9634452014106043
P2_JanMar,P2_Late_Current,2024,11,-0.9170828897058965,-0.7110366820224969,1.1781653402547467
P2_JanMar,P2_Late_Current,2025,14,0.08424588038533948,NA,0.43316598440465753
